,team,balbezit,Top10
270,Newcastle United,58,overig
271,West Ham United,42,top10
272,Southampton,40,overig
273,Manchester United,60,top10
274,Chelsea,66,top10
275,Fulham,34,overig
276,Arsenal,59,top10
277,Tottenham Hotspur,41,top10
278,Liverpool,57,top10
279,Everton,43,top10
280,AFC Bournemouth,32,overig
281,Huddersfield Town,68,overig
282,Brighton & Hove Albion,31,overig
283,Crystal Palace,69,overig
284,West Ham United,61,top10
285,Cardiff City,39,overig
286,Watford,29,overig
287,Manchester City,71,top10
288,Burnley,25,overig
289,Liverpool,75,top10
290,Fulham,45,overig
291,Leicester City,55,top10
292,Wolverhampton Wanderers,29,top10
293,Chelsea,71,top10
294,Everton,76,top10
295,Newcastle United,24,overig
296,Manchester United,44,top10
297,Arsenal,56,top10
298,Tottenham Hotspur,52,top10
299,Southampton,48,overig
300,AFC Bournemouth,40,overig
301,Liverpool,60,top10
302,Arsenal,61,top10
303,Huddersfield Town,39,overig
304,Burnley,37,overig
305,Brighton & Hove Albion,63,overig
306,Cardiff City,36,overig
307,Southampton,64,overig
308,Manchester United,62,top10
309,Fulham,38,overig
310,West Ham United,48,top10
311,Crystal Palace,52,overig
312,Chelsea,38,top10
313,Manchester City,62,top10
314,Leicester City,42,top10
315,Tottenham Hotspur,58,top10
316,Newcastle United,50,overig
317,Wolverhampton Wanderers,50,top10
318,Everton,56,top10
319,Watford,44,overig
320,Manchester City,67,top10
321,Everton,33,top10
322,Crystal Palace,43,overig
323,Leicester City,57,top10
324,Huddersfield Town,73,overig
325,Newcastle United,27,overig
326,Tottenham Hotspur,70,top10
327,Burnley,30,overig
328,Watford,71,overig
329,Cardiff City,29,overig
330,Wolverhampton Wanderers,37,top10
331,AFC Bournemouth,63,overig
332,Fulham,56,overig
333,West Ham United,44,top10
334,Brighton & Hove Albion,41,overig
335,Chelsea,59,top10
336,Southampton,33,overig
337,Arsenal,67,top10
338,Liverpool,64,top10
339,Manchester United,36,top10
340,Wolverhampton Wanderers,38,top10
341,Liverpool,62,top10
342,Arsenal,60,top10
343,Burnley,40,overig
344,AFC Bournemouth,57,overig
345,Brighton & Hove Albion,43,overig
346,Chelsea,72,top10
347,Leicester City,28,top10
348,Huddersfield Town,62,overig
349,Southampton,38,overig
350,Manchester City,78,top10
351,Crystal Palace,22,overig
352,Newcastle United,53,overig
353,Fulham,47,overig
354,West Ham United,51,top10
355,Watford,49,overig
356,Cardiff City,25,overig
357,Manchester United,75,top10
358,Everton,41,top10
359,Tottenham Hotspur,59,top10
360,Fulham,29,overig
361,Wolverhampton Wanderers,71,top10
362,Burnley,49,overig
363,Everton,51,top10
364,Crystal Palace,62,overig
365,Cardiff City,38,overig
366,Leicester City,33,top10
367,Manchester City,67,top10
368,Liverpool,75,top10
369,Newcastle United,25,overig
370,Manchester United,64,top10
371,Huddersfield Town,36,overig
372,Tottenham Hotspur,56,top10
